table_name	column_name
mdl_competency_evidence	id
mdl_competency_evidence	usercompetencyid
mdl_competency_evidence	contextid
mdl_competency_evidence	action
mdl_competency_evidence	actionuserid
mdl_competency_evidence	descidentifier
mdl_competency_evidence	desccomponent
mdl_competency_evidence	desca
mdl_competency_evidence	url
mdl_competency_evidence	grade
mdl_competency_evidence	note
mdl_competency_evidence	timecreated
mdl_competency_evidence	timemodified
mdl_competency_evidence	usermodified
mdl_competency_framework	id
mdl_competency_framework	shortname
mdl_competency_framework	contextid
mdl_competency_framework	idnumber
mdl_competency_framework	description
mdl_competency_framework	descriptionformat
mdl_competency_framework	scaleid
mdl_competency_framework	scaleconfiguration
mdl_competency_framework	visible
mdl_competency_framework	taxonomies
mdl_competency_framework	timecreated
mdl_competency_framework	timemodified
mdl_competency_framework	usermodified
mdl_competency_modulecomp	id
mdl_competency_modulecomp	cmid
mdl_competency_modulecomp	timecreated
mdl_competency_modulecomp	timemodified
mdl_competency_modulecomp	usermodified
mdl_competency_modulecomp	sortorder
mdl_competency_modulecomp	competencyid
mdl_competency_modulecomp	ruleoutcome
mdl_competency_plan	id
mdl_competency_plan	name
mdl_competency_plan	description
mdl_competency_plan	descriptionformat
mdl_competency_plan	userid
mdl_competency_plan	templateid
mdl_competency_plan	origtemplateid
mdl_competency_plan	status
mdl_competency_plan	duedate
mdl_competency_plan	reviewerid
mdl_competency_plan	timecreated
mdl_competency_plan	timemodified
mdl_competency_plan	usermodified
mdl_competency_plancomp	id
mdl_competency_plancomp	planid
mdl_competency_plancomp	competencyid
mdl_competency_plancomp	sortorder
mdl_competency_plancomp	timecreated
mdl_competency_plancomp	timemodified
mdl_competency_plancomp	usermodified
mdl_competency_relatedcomp	id
mdl_competency_relatedcomp	competencyid
mdl_competency_relatedcomp	relatedcompetencyid
mdl_competency_relatedcomp	timecreated
mdl_competency_relatedcomp	timemodified
mdl_competency_relatedcomp	usermodified
mdl_competency_template	id
mdl_competency_template	shortname
mdl_competency_template	contextid
mdl_competency_template	description
mdl_competency_template	descriptionformat
mdl_competency_template	visible
mdl_competency_template	duedate
mdl_competency_template	timecreated
mdl_competency_template	timemodified
mdl_competency_template	usermodified
mdl_competency_templatecohort	id
mdl_competency_templatecohort	templateid
mdl_competency_templatecohort	cohortid
mdl_competency_templatecohort	timecreated
mdl_competency_templatecohort	timemodified
mdl_competency_templatecohort	usermodified
mdl_competency_templatecomp	id
mdl_competency_templatecomp	templateid
mdl_competency_templatecomp	competencyid
mdl_competency_templatecomp	timecreated
mdl_competency_templatecomp	timemodified
mdl_competency_templatecomp	usermodified
mdl_competency_templatecomp	sortorder
mdl_competency_usercomp	id
mdl_competency_usercomp	userid
mdl_competency_usercomp	competencyid
mdl_competency_usercomp	status
mdl_competency_usercomp	reviewerid
mdl_competency_usercomp	proficiency
mdl_competency_usercomp	grade
mdl_competency_usercomp	timecreated
mdl_competency_usercomp	timemodified
mdl_competency_usercomp	usermodified
mdl_competency_usercompcourse	id
mdl_competency_usercompcourse	userid
mdl_competency_usercompcourse	courseid
mdl_competency_usercompcourse	competencyid
mdl_competency_usercompcourse	proficiency
mdl_competency_usercompcourse	grade
mdl_competency_usercompcourse	timecreated
mdl_competency_usercompcourse	timemodified
mdl_competency_usercompcourse	usermodified
mdl_competency_usercompplan	id
mdl_competency_usercompplan	userid
mdl_competency_usercompplan	competencyid
mdl_competency_usercompplan	planid
mdl_competency_usercompplan	proficiency
mdl_competency_usercompplan	grade
mdl_competency_usercompplan	sortorder
mdl_competency_usercompplan	timecreated
mdl_competency_usercompplan	timemodified
mdl_competency_usercompplan	usermodified
